gene,length
Ttra_dgo,5820
Ttra_dkk5,1040
Ttra_dsh,4165
Ttra_fmi,11512
Ttra_fz1/2/7,7674
Ttra_fz4,2734
Ttra_fz5/8,3838
Ttra_fz9/10,3801
Ttra_jnk,5046
Ttra_pk,4136
Ttra_sfrp1/2/5,2488
Ttra_stbm,2745
Ttra_wif,3105
Ttra_wnt10,2484
Ttra_wnt11,2474
Ttra_wnt16,3946
Ttra_wnt1,3798
Ttra_wnt1t,3150
Ttra_wnt2,1457
Ttra_wnt4,2910
Ttra_wnt5,2154
Ttra_wnt6,1953
Ttra_wnt7,4720
Ttra_wnt8,1570
Ttra_wnt9,2345
Ttra_wntA,4624
